,id,Venue,Locality,Sector,Venue Latitude,Venue Longitude,Local Latitude,Local Longitude,Distance
3000,19011819,Jumboking - Indian Burger,Dadar,South,19.0194385487,72.8425536677,19.019282,72.8428757,38.042877672578264
916,36984,Khana Khazana,Girgaon,South,18.9543402176,72.818270959,18.9543165,72.8179082,38.21684019242224
4301,32817,Ujala Restaurant & Bar,Bandra (East),West,19.0617769081,72.8494694084,19.0616565,72.8498111,38.301672071121494
1700,18894922,Amul Ice Cream Parlour,Mumbai Central,South,18.969337,72.819043,18.9695855,72.8193152,39.759805331686856
3902,18467864,National Restaurant,Dharavi,West,19.0448023572,72.8584843129,19.044463,72.8586177,40.22990293618943
4800,18645995,Joe's Pizza,Khar,West,19.0725027192,72.8340983391,19.0724575,72.8337068,41.42728349016038
917,19276435,Casa Filata,Girgaon,South,18.9543754153,72.8183054924,18.9543165,72.8179082,42.26543915145531
5102,18795756,D'oh Boy,Tagore Road,West,19.081717084,72.8361783922,19.0821047,72.836199,43.12820721605148
7201,19396742,Ramada Powai - Coffee Shop,NITIE,East,19.1352548133,72.9000957683,19.1349868,72.8997985,43.13949342583575
7202,46397,Amrut Restaurant & Bar,NITIE,East,19.1352573473,72.9000967741,19.1349868,72.8997985,43.410488469428515
7204,18613850,Bar 87 - Ramada Powai Hotel and Convention Centre,NITIE,East,19.1352570306,72.9000974447,19.1349868,72.8997985,43.43696374021548
7203,37843,Herb & Spice - Ramada Powai Hotel and Convention Centre,NITIE,East,19.1352570306,72.9000974447,19.1349868,72.8997985,43.43696374021548
7205,44656,Skky - Ramada Powai Hotel and Convention Centre,NITIE,East,19.1352573473,72.9000974447,19.1349868,72.8997985,43.46130146305763
7206,37868,Cafe Ambrosia - Ramada Powai Hotel and Convention Centre,NITIE,East,19.1352582976,72.9000971094,19.1349868,72.8997985,43.509048476983025
7207,36871,Fusion - The Residence Hotel,NITIE,East,19.1352586143,72.900099121,19.1349868,72.8997985,43.68578769525832
6100,18605394,China Gate,Saki Naka,East,19.10807365,72.88318731,19.1082208,72.8835824,44.591788532434876
6300,18133543,Lume Restaurant & Bar,Andheri (East),West,19.1157918367,72.853783071,19.1158835,72.854202,45.150509376670534
1003,19033983,Juice Box Minara,Mandvi,South,18.9550438536,72.8343588486,18.9550564,72.8347919,45.534709641569286
4801,18881666,Super Natural,Khar,West,19.0724821226,72.8341405839,19.0724575,72.8337068,45.64025325315161
5103,18710840,Anand Dosa,Tagore Road,West,19.0816920526,72.8362068906,19.0821047,72.836199,45.86297600342496
7208,18747418,Lake View Cafe - Renaissance Hotel,NITIE,East,19.1352582976,72.9001279548,19.1349868,72.8997985,45.89731370310912
5104,49316,Avarya,Tagore Road,West,19.0816895178,72.8361877799,19.0821047,72.836199,46.15221358854982
918,19302653,Roti Rollers,Girgaon,South,18.9543741469,72.8183484077,18.9543165,72.8179082,46.70706506106952
2001,16505318,Hotel Swagat,Jacob Circle,South,18.9810214524,72.8272305429,18.9810531,72.82678629995553,46.81458896079406
2002,19188299,Brijwasi,Jacob Circle,South,18.9806657265,72.8269730508,18.9810531,72.82678629995553,47.30911026342751
6908,18775262,Bistro 1 Bar & Kitchen,Versova,West,19.1300321362,72.8217682242,19.13025205,72.8213774957082,47.74949946233246
1400,46666,Green Field,Mazgaon,South,18.9681989869,72.8404397517,18.9680519,72.84001187036267,47.84499501914178
919,48261,Daryush Bakery,Girgaon,South,18.9545561603,72.8182890639,18.9543165,72.8179082,48.078793966700516
9901,18598739,Biryani Barbeque Chinese By  Borivali Biryani Centre,Borivali West,North,19.2298203744,72.8477400541,19.2294561,72.8479905,48.26145982533087
6600,19489208,Ghargruti Kitchens,MIDC,West,19.1201059,72.8644712,19.1205119,72.8646365,48.33986695974942
6909,35885,Appointment,Versova,West,19.1300901035,72.8218097985,19.13025205,72.8213774957082,48.82445106154608
9902,36065,Dwara Restaurant & Bar,Borivali West,North,19.2290397124,72.8478349373,19.2294561,72.8479905,49.06566097374001
2003,41451,Shiv Punjab,Jacob Circle,South,18.9812116798,72.8272248432,18.9810531,72.82678629995553,49.33777332248932
1200,19273305,Pubzee Hunger Kitchen & Fast Food,Dongri,South,18.9624323289,72.8372140601,18.9622265,72.836795,49.626299326973296
1501,19318755,Bombay Charcoal,Nagpada,South,18.9679665742,72.8290199116,18.9681782,72.8286009,49.92064138723571
10101,18745201,Dayanand Bar & Restaurant,Dahisar,North,19.2495085458,72.8600926325,19.2494501,72.8596206,49.946109848573826
2501,42876,Shahi Sagar Bakery,Sewri,South,19.0018446791,72.8544130549,19.001418,72.8542575,50.15266959018146
9107,19286125,Kings Shawarma,Orlem,North,19.194024,72.838959,19.1944819,72.8389662,50.88979959374413
920,18656031,Keventers - Milkshakes & Ice Creams,Girgaon,South,18.9545307926,72.8183420375,18.9543165,72.8179082,51.44007794612905
6101,19128182,Bohri Mohalla,Saki Naka,East,19.10814,72.8831,19.1082208,72.8835824,51.44279701118527
9108,34755,Tandoor,Orlem,North,19.1947055926,72.8385363892,19.1944819,72.8389662,51.50341317681749
6102,18748200,Tea Post,Saki Naka,East,19.1081327,72.8840669,19.1082208,72.8835824,51.80708761383662
9109,19284141,Mughlai Dastak,Orlem,North,19.1940678843,72.8387378901,19.1944819,72.8389662,51.872949610343724
4302,18745546,Flavours Of China,Bandra (East),West,19.0619629236,72.8494355455,19.0616565,72.8498111,52.109644629711184
6301,18760249,The Indian Toss,Andheri (East),West,19.1157759973,72.8537166864,19.1158835,72.854202,52.338321526245906
2,18431512,Sangam,Colaba,South,18.915566,72.825923,18.915091,72.8259691,53.0064320734734
8300,19510383,Dial A Biryani,Goregaon (East),North,19.1697143844,72.8554292768,19.1692623,72.8552548,53.47186458075737
921,18675437,Snaxx,Girgaon,South,18.9544854478,72.8183852881,18.9543165,72.8179082,53.54132809366345
2004,35717,Hotel Shivprasad,Jacob Circle,South,18.9815097024,72.8269519284,18.9810531,72.82678629995553,53.64205268668559
8800,19288009,Yash Juice & Fast Food Corner,Malad (West),North,19.1844322999,72.8414797783,19.1840129,72.8412155,54.2351449361395
2005,19423670,The Kitchenary,Jacob Circle,South,18.980687,72.82644,18.9810531,72.82678629995553,54.583389593330025
6103,48323,Persian Darbar,Saki Naka,East,19.107762,72.883395,19.1082208,72.8835824,54.64971634695798
4303,18986594,New Annapurna Sweet & Farsan,Bandra (East),West,19.0613202663,72.8494261578,19.0616565,72.8498111,55.05228556174261
6000,19595818,La Sanazaar,Juhu,West,19.1072838,72.8270801,19.1070215,72.8275275,55.28632745338254
4802,35021,Domino's Pizza,Khar,West,19.0726104555,72.8342096508,19.0724575,72.8337068,55.47973210805724
2006,19011923,Mahalaxmi Services Juice Centre,Jacob Circle,South,18.9815005081,72.8265502676,18.9810531,72.82678629995553,55.56159984289852
4304,19539733,Delish Munchies,Bandra (East),West,19.0619961972,72.8494181111,19.0616565,72.8498111,55.93489859163051
3001,17806966,Panshikar & Co.,Dadar,South,19.0191558088,72.8423558548,19.019282,72.8428757,56.385843430190626
4305,18555113,The Shawarma Fusion,Bandra (East),West,19.0615202255,72.8492863476,19.0616565,72.8498111,57.15830359139009
6302,18585706,AndaMental - The Express Takeaway,Andheri (East),West,19.1159562499,72.853658013,19.1158835,72.854202,57.6865358870283
1401,19580239,Hotel Jagdamba,Mazgaon,South,18.9676977463,72.8404137411,18.9680519,72.84001187036267,57.72759805692326
9110,19291882,Sweety Da Dhaba,Orlem,North,19.1943994043,72.8395117074,19.1944819,72.8389662,57.978959809173915
2007,16542250,Free India Restaurant,Jacob Circle,South,18.9814241002,72.8263953701,18.9810531,72.82678629995553,58.20021698573319
2008,18140652,Cafe National,Jacob Circle,South,18.98138764,72.8272154555,18.9810531,72.82678629995553,58.444535161141204
4306,19182915,The Fusion House,Bandra (East),West,19.0621606638,72.8499763459,19.0616565,72.8498111,58.6520458122335
4307,19217890,The Beard Chef's Cafe,Bandra (East),West,19.0621612976,72.8499773517,19.0616565,72.8498111,58.750637930898776
3400,42328,A.Rama Nayak's Udipi Shri Krishna Boarding,Matunga,West,19.0274802699,72.8507072479,19.0274356,72.8501467,59.0963724616022
5105,35111,Bakers & More,Tagore Road,West,19.0815859065,72.836050652,19.0821047,72.836199,59.718950059945016
400,19505428,CTO Vada Pav,Hutatma Chowk,South,18.932877,72.831035,18.933307,72.831377,59.79629966637355
3002,46079,Shagun,Dadar,South,19.0190857577,72.8423437849,19.019282,72.8428757,59.986661765553656
4308,40623,Domino's Pizza,Bandra (East),West,19.0612366065,72.8494513035,19.0616565,72.8498111,60.04429385213757
6601,19600639,Wok Havoc,MIDC,West,19.1206413,72.8640783,19.1205119,72.8646365,60.34617938904202
1004,19354439,Al Baik - Al Brost,Mandvi,South,18.954939,72.834231,18.9550564,72.8347919,60.37650543340952
3401,45608,Udipi Sri Krishna,Matunga,West,19.0274089545,72.8507246822,19.0274356,72.8501467,60.79122502058035
2009,19566671,Cheese Please,Jacob Circle,South,18.9815106536,72.8264677897,18.9810531,72.82678629995553,60.872979050019076
4309,19565059,Snacks In Second's,Bandra (East),West,19.0621349956,72.8500946984,19.0616565,72.8498111,60.94760002819499
4310,18467908,Ribbons & Balloons,Bandra (East),West,19.0621644665,72.8495880961,19.0616565,72.8498111,61.11440609524896
7900,18608034,Litti Express Delivery Kitchen,Oshiwara,West,19.1496932875,72.8342532367,19.1502437,72.8342294,61.215814822801796
2010,18419756,Hotel Shree Ram,Jacob Circle,South,18.9815968898,72.8269220889,18.9810531,72.82678629995553,62.09053302168707
2400,18866621,Bhandara,Nehru Nagar,South,19.0013041825,72.8188979253,19.0010485,72.8194265,62.383391641112645
4311,19283728,Ice Cream Works,Bandra (East),West,19.0622177042,72.8497453406,19.0616565,72.8498111,62.74518111255784
6104,18392682,Northern Tadka,Saki Naka,East,19.1080672,72.8841582,19.1082208,72.8835824,62.82357283072999
6602,19330582,Stranka Kitchen,MIDC,West,19.120627,72.864048,19.1205119,72.8646365,63.099203897332444
2011,19334341,Brijwasi,Jacob Circle,South,18.9805519067,72.827071622,18.9810531,72.82678629995553,63.252674037371406
922,18816726,Cafe 2.0,Girgaon,South,18.9547093177,72.8183477372,18.9543165,72.8179082,63.55692165077709
2401,19165750,Lajjat,Nehru Nagar,South,19.0013555377,72.818915695,19.0010485,72.8194265,63.59757570454841
2402,19292577,Edesia by Freshmenu,Nehru Nagar,South,19.0013555377,72.8189153597,19.0010485,72.8194265,63.627309299137366
6105,19098846,Chimichurri,Saki Naka,East,19.107726,72.883276,19.1082208,72.8835824,63.70560933548248
6106,18210381,Slice of Lime,Saki Naka,East,19.1076698121,72.8837587684,19.1082208,72.8835824,63.967949630565265
5106,19522102,Krishna Frankie & Sandwich,Tagore Road,West,19.081554,72.836021,19.0821047,72.836199,63.98802172286535
4312,18669312,Baskin Robbins,Bandra (East),West,19.0614604088,72.8492354973,19.0616565,72.8498111,64.26383604605404
6107,17974916,Jughead's,Saki Naka,East,19.1078555,72.8840612,19.1082208,72.8835824,64.61784826935349
4313,19565050,Pizza & Sandwich Center,Bandra (East),West,19.0621014052,72.8494083881,19.0616565,72.8498111,65.06464623900978
2700,47088,Havmor Ice Cream,Prabhadevi,South,19.0153365537,72.827565819,19.0148811,72.8279556,65.10442342207217
8600,19249068,The Team Dine,Dindoshi,North,19.174524444,72.8692020848,19.1740198,72.8695219,65.35760360026075
8301,19495029,Ashirvad Snacks,Goregaon (East),North,19.1697261017,72.8556388244,19.1692623,72.8552548,65.43048385591784
8601,19315288,Gupta Pani Puri Center,Dindoshi,North,19.1745358443,72.8692191839,19.1740198,72.8695219,65.55943305584086
8101,19025214,Shree Potobaya Namaha,Goregaon (West),North,19.1630828652,72.8406291828,19.1633281,72.8411995,65.77568001463398
9111,19009452,Gargi's Milkshakes,Orlem,North,19.194299,72.838368,19.1944819,72.8389662,65.98768793632361
9112,19165901,Deepak Bhelpuri House,Orlem,North,19.1949579521,72.8385853395,19.1944819,72.8389662,66.30366123644964
3003,19496387,Zatpat Zaldee,Dadar,South,19.0192849,72.8435079,19.019282,72.8428757,66.41887724049325
4314,19565036,Saavi's Magic Kitchen,Bandra (East),West,19.0622034441,72.8495488688,19.0616565,72.8498111,66.72861680292014
2701,19431073,Nomou Ice Creams,Prabhadevi,South,19.014941,72.827323,19.0148811,72.8279556,66.79436611495024
9201,19221777,Hungrry Tummys,Kandivli (West),North,19.2011800594,72.8488411009,19.2006415,72.8485534,67.03204424250292
2012,19170720,Maratha Kitchen,Jacob Circle,South,18.981598158,72.8265093639,18.9810531,72.82678629995553,67.19790634689275
4315,19565141,Siddivinayak Snacks Corner,Bandra (East),West,19.0615379715,72.8491834179,19.0616565,72.8498111,67.22953844466178
9202,18340802,Havmor Ice Cream,Kandivli (West),North,19.2011540962,72.8489014506,19.2006415,72.8485534,67.66700998348723
4803,19246527,The BlueBop Cafe,Khar,West,19.0726513318,72.8343182802,19.0724575,72.8337068,67.73662096120584
10102,35817,Veg Malhar,Dahisar,North,19.2488704171,72.8598220646,19.2494501,72.8596206,67.79623517831357
4804,19034701,The Kebab Factory,Khar,West,19.0726380232,72.8343246505,19.0724575,72.8337068,67.91985596664136
9113,19304659,The Brooklyn Creamery - Low Cal Ice Cream,Orlem,North,19.195094,72.839017,19.1944819,72.8389662,68.2282940769881
9114,19304765,The Brooklyn Creamery - Low Cal Ice Cream,Orlem,North,19.195094,72.839017,19.1944819,72.8389662,68.2282940769881
5107,19122061,Cake Basket,Tagore Road,West,19.0815082773,72.836040929,19.0821047,72.836199,68.32487145129394
1300,18614319,Frost Bite,Grant Road,South,18.9640177279,72.8131070361,18.9644472,72.8135727,68.3566919162312
8801,19227497,Le China (Pure Veg),Malad (West),North,19.1846103,72.8410447,19.1840129,72.8412155,68.76384340945371
1502,42913,Hotel Jyoti,Nagpada,South,18.9676697957,72.8289753199,18.9681782,72.8286009,68.84862782183895
2013,19102952,Dilkhush Family Restaurant,Jacob Circle,South,18.9814196616,72.8262558952,18.9810531,72.82678629995553,69.03489940919
9903,38338,Sapna Sagar,Borivali West,North,19.2288494531,72.847848013,19.2294561,72.8479905,69.05161105038415
2300,19574074,Monk Chinese,Delisle Road,South,18.9938704,72.831136,18.9932602,72.8310115,69.05890882957837
8802,19223173,The Jalsa By Nanumal Bhojraj,Malad (West),North,19.1844465495,72.8407421708,19.1840129,72.8412155,69.21051868743987
4316,19527873,Ravi Juice Center,Bandra (East),West,19.0621498895,72.8494026884,19.0616565,72.8498111,69.61455977649653
1701,19128106,Yess Pizza,Mumbai Central,South,18.9695107017,72.8199751675,18.9695855,72.8193152,69.85233058849592
9203,32017,Season's,Kandivli (West),North,19.2010654412,72.8490496427,19.2006415,72.8485534,70.22431943514441
4805,18788305,Punjab Sind,Khar,West,19.0727143892,72.834319286,19.0724575,72.8337068,70.37610256547812
2301,19254258,Om's Dehlii Darbar Mithaiwala,Delisle Road,South,18.9929314915,72.8315898031,18.9932602,72.8310115,70.89924229408776
1503,18140605,Deliure & The Eatrium,Nagpada,South,18.9675895766,72.8288616613,18.9681782,72.8286009,70.9192562458801
1402,19451009,Anando,Mazgaon,South,18.9684736952,72.8405223801,18.9680519,72.84001187036267,71.24115313563027
4317,19197711,Aagri Tadka,Bandra (East),West,19.0614993106,72.8491475433,19.0616565,72.8498111,71.85027367484537
1005,18386381,Chunkies,Mandvi,South,18.9549836055,72.8341090679,18.9550564,72.8347919,72.21959700726559
4318,18938184,7 King,Bandra (East),West,19.0618586662,72.8504651785,19.0616565,72.8498111,72.27909879181945
2403,18959063,J Magic Fries,Nehru Nagar,South,19.0010356771,72.8187363222,19.0010485,72.8194265,72.53111875012539
2404,19606683,Paddy's Kitchen,Nehru Nagar,South,19.0010166566,72.8187343106,19.0010485,72.8194265,72.81451789506673
3700,19108556,Mao Family Restaurant,Mahim,West,19.041666,72.8396988,19.0423145,72.8398344,73.45885634841596
3402,19475729,Gupta Chat,Matunga,West,19.027298,72.850832,19.0274356,72.8501467,73.59912504170616
9115,19489529,Cream & Crumbs - Cake Cafe,Orlem,North,19.1941517935,72.8383580223,19.1944819,72.8389662,73.61730191688127
4319,19565048,Sagar Chinese & Juice Center,Bandra (East),West,19.0621761915,72.8493748605,19.0616565,72.8498111,73.71927069763149
3903,18467868,Sansar Hotel,Dharavi,West,19.0451126259,72.8587652743,19.044463,72.8586177,73.83535238525886
923,18223198,Dairy Don,Girgaon,South,18.9547575163,72.8184352443,18.9543165,72.8179082,73.95991184063826
4320,18557928,90ML Bar & Kitchen,Bandra (East),West,19.0620915815,72.8503448144,19.0616565,72.8498111,74.02673020001855
2405,18597077,Fish Fiesta,Nehru Nagar,South,19.0013174968,72.8187789023,19.0010485,72.8194265,74.31972556180942
3904,19598071,Zaika Food & Stories,Dharavi,West,19.044259148,72.8579431772,19.044463,72.8586177,74.38695612691913
1301,17803690,Parsi Amelioration Committee,Grant Road,South,18.9639733369,72.8130714968,18.9644472,72.8135727,74.4804475320284
6603,19074666,Cibo Food And Beverages Services,MIDC,West,19.1204444448,72.8639281914,19.1205119,72.8646365,74.74536700779309
6108,18306468,TAP,Saki Naka,East,19.1075880766,72.8833282739,19.1082208,72.8835824,75.20459489384167
4806,19227311,Hungry Yard,Khar,West,19.072731,72.834363,19.0724575,72.8337068,75.3214461351729
3,19068114,Gomunch Cafe,Colaba,South,18.914412,72.826021,18.915091,72.8259691,75.65095132923348
8500,19515334,Hidden Punjab,Mulund (West),East,19.1722188378,72.9505232315,19.1719717,72.9511956,75.72826335298345
2406,19478713,Worli Vada Pav Kendra,Nehru Nagar,South,19.001074986,72.8187021241,19.0010485,72.8194265,76.16720050115715
1006,19583573,Divine Dessert,Mandvi,South,18.955197203,72.8340800152,18.9550564,72.8347919,76.43708550872152
1504,18424812,Zaytoni,Nagpada,South,18.967609235,72.8290101886,18.9681782,72.8286009,76.46991837427649
2302,19280527,Kavi Bakery & Confectionery,Delisle Road,South,18.9937668457,72.8305149078,18.9932602,72.8310115,76.76261798138225
9116,48346,Mangoes,Orlem,North,19.1951403346,72.8387399018,19.1944819,72.8389662,76.92645548102693
7901,19486349,MC Burger,Oshiwara,West,19.1500134947,72.8335283697,19.1502437,72.8342294,77.910684301174
7902,19489968,Tangy Pasta,Oshiwara,West,19.1500138114,72.8335280344,19.1502437,72.8342294,77.93238843623004
6604,35575,Hotel Sai Dham,MIDC,West,19.1208271142,72.8639721125,19.1205119,72.8646365,78.05775444244395
7903,19093972,Midnight Pizza,Oshiwara,West,19.1500185622,72.8335246816,19.1502437,72.8342294,78.09426002990764
10103,36653,Monginis,Dahisar,North,19.2495465295,72.8603598475,19.2494501,72.8596206,78.29295402164404
9904,19539488,Chal Kuch Khate Hai,Borivali West,North,19.229679,72.848699,19.2294561,72.8479905,78.35744585593226
7904,18980181,Foodie Food,Oshiwara,West,19.1500594195,72.8335085884,19.1502437,72.8342294,78.3897700451386
6910,41136,Bottles,Versova,West,19.1299957086,72.8220736608,19.13025205,72.8213774957082,78.44419955725398
1302,18471998,N. Lookmanji's Mithaiwala,Grant Road,South,18.9638382615,72.813189514,18.9644472,72.8135727,78.74457469488509
9204,19424461,Baithack - Taste Of Kulhad,Kandivli (West),North,19.2012763132,72.8488950804,19.2006415,72.8485534,79.13369636641976
6605,19534101,Bombay Kebab Company,MIDC,West,19.1207377825,72.8639191389,19.1205119,72.8646365,79.39152333214527
6606,19504100,Mumbai Junction,MIDC,West,19.1209413895,72.8640316974,19.1205119,72.8646365,79.43698920122233
1007,19451536,Badshah Shawarma,Mandvi,South,18.955734,72.834542,18.9550564,72.8347919,79.74744993004299
924,49941,Sree Venky,Girgaon,South,18.9547194648,72.81727653,18.9543165,72.8179082,80.07872044284986
5700,19222024,Kinara Restaurant,Sahar,West,19.099828,72.8680059,19.0995955,72.867284,80.0870801113637
6109,44568,Global Fusion,Saki Naka,East,19.1075114099,72.8834375739,19.1082208,72.8835824,80.2844413982045
4321,18613827,Chef Tush-R's College Days,Bandra (East),West,19.0623609389,72.849981375,19.0616565,72.8498111,80.29781292846512
9205,19183110,Pitara - The Cake Shop,Kandivli (West),North,19.2011132516,72.849133797,19.2006415,72.8485534,80.36231852779503
4500,18175505,Deepak Farsan Mart,Kurla,East,19.0659763068,72.8791628033,19.0652797,72.8793805,80.71662984440438
6607,19136174,Krrish Sandwich,MIDC,West,19.1201758155,72.8639533371,19.1205119,72.8646365,80.8690277189871
9905,41143,5 Spice,Borivali West,North,19.2300824937,72.8475978971,19.2294561,72.8479905,80.88396194235015
8803,19582939,Cloud Rasoda,Malad (West),North,19.1833467996,72.8408907,19.1840129,72.8412155,81.4929643988069
9117,36685,Monginis,Orlem,North,19.1937515624,72.8390366212,19.1944819,72.8389662,81.49465520041217
9206,18820614,Ek Cutting,Kandivli (West),North,19.2011227503,72.8491448611,19.2006415,72.8485534,81.93093323404254
925,19201664,Jumboking - Indian Burger,Girgaon,South,18.95357375,72.81786393,18.9543165,72.8179082,82.66921511731165
2303,19593815,Jugaadi Adda,Delisle Road,South,18.993972,72.83125,18.9932602,72.8310115,82.97379516258955
1505,37427,The American Express Bakery,Nagpada,South,18.9685718612,72.8292737156,18.9681782,72.8286009,83.14520001422383
2014,19566535,Fresh And Frozen,Jacob Circle,South,18.9814602434,72.8261157498,18.9810531,72.82678629995553,83.7381094287201
2502,19248871,Grand Darbar Restaurant,Sewri,South,19.0021718293,72.8542843089,19.001418,72.8542575,83.8167116257764
